name,industry,current_price,sales,operating_profit,profit_after_tax,net_profit,opm,eps,return_on_capital_employed,roce3yr_avg,sales_growth_3years,sales_growth_5years,profit_growth_3years,profit_growth_5years,eps_growth_3years,eps_growth_5years,sales_growth_10years,profit_growth_10years,eps_growth_10years,debt,net_worth,current_ratio,interest_coverage_ratio,working_capital,cash_equivalents,total_assets,debt_to_profit,leverage,altman_z_score,market_capitalization,price_to_sales,price_to_cash_flow,price_to_free_cash_flow,peg_ratio,evebitda,market_cap_to_sales,enterprise_value_to_ebit,intrinsic_value,graham
Fortis Malar,Healthcare,64.0,59.0,-1.0,-8.0,45.0,-2.05,24.0,-3.29,-1.77,-5.0,-16.0,14.0,,14.0,,-6.0,,,0.0,109.0,17.67,-0.84,107.0,108.0,116.0,0.0,1.16,4.46,120.0,1.99,-16.06,-1134.67,,1.62,1.99,-2.56,106.0,178.0
Fortune Interntl,Trading,51.0,0.0,-0.0,5.0,5.0,,7.0,-0.43,1.91,,,-24.0,-8.0,-24.0,-8.0,,,,0.0,39.0,22.0,,1.0,1.0,40.0,0.09,0.95,2.85,36.0,,-108.18,38.53,-0.87,-253.43,,-221.75,56.0,95.0
Foseco India,Chemicals,4208.0,489.0,74.0,65.0,75.0,15.1,117.0,31.71,27.18,24.0,6.0,60.0,15.0,60.0,15.0,8.0,13.0,13.0,1.0,287.0,2.84,949.78,242.0,230.0,420.0,0.02,1.33,13.72,2689.0,5.49,47.07,66.32,2.79,26.15,5.49,28.72,2057.0,1086.0
Foundry Fuel,Miscellaneous,10.0,0.0,-0.0,-0.0,-0.0,,-0.0,,0.0,,,2.0,5.0,2.0,5.0,,1.0,1.0,1.0,-1.0,0.02,-3.17,-0.0,0.0,0.0,-3.44,-0.12,91.48,8.0,,-48.71,-47.77,,-48.11,,-48.11,,
Fourth Gen.,Computers - Software - Medium / Small,5.0,0.0,-0.0,-0.0,-0.0,-183.33,-0.0,,-280.0,,15.0,4.0,,4.0,,-18.0,3.0,3.0,0.0,-1.0,0.68,,-0.0,0.0,2.0,-2.07,-2.87,0.8,2.0,32.17,13.63,-190.75,,-27.0,32.17,-15.43,,
Franklin Indust.,Trading,5.0,51.0,11.0,10.0,10.0,21.69,1.0,119.6,63.53,50.0,24.0,539.0,159.0,540.0,159.0,,100.0,53.0,0.0,15.0,2.08,,12.0,0.0,25.0,0.02,1.21,9.66,78.0,1.51,-54.25,-61.52,0.05,6.76,1.51,6.78,9.0,4.0
Franklin Leasing,Finance & Investments,15.0,11.0,0.0,0.0,0.0,2.58,0.0,0.24,5.69,38.0,34.0,-2.0,-1.0,-2.0,-1.0,27.0,6.0,-38.0,0.0,38.0,74.67,7.25,9.0,1.0,38.0,0.0,3.7,3.02,24.0,2.15,21.58,24.34,-124.62,79.48,2.15,79.48,11.0,8.0
Fraser & Company,Trading,5.0,0.0,-1.0,-1.0,-1.0,-2166.67,-1.0,-9.3,6.13,-91.0,-64.0,,,,,-22.0,,,0.0,7.0,1.4,-18.25,3.0,0.0,15.0,-0.41,2.03,1.2,4.0,136.33,31.34,-5.63,,-6.69,136.33,-5.96,,
Fredun Pharma,Pharmaceuticals - Indian - Formulations,882.0,349.0,39.0,16.0,16.0,11.14,33.0,17.48,16.49,38.0,29.0,98.0,28.0,88.0,24.0,32.0,52.0,42.0,106.0,121.0,1.47,2.57,183.0,1.0,308.0,6.75,2.33,4.91,413.0,1.18,-935.73,-32.15,0.92,13.23,1.18,14.66,718.0,441.0
Freshtrop Fruits,Food - Processing - Indian,133.0,107.0,-4.0,-4.0,60.0,-3.82,61.0,-4.76,5.51,-10.0,-9.0,,,,,-1.0,,,6.0,142.0,7.29,-7.67,108.0,9.0,162.0,0.09,1.16,3.61,106.0,0.99,1.45,4.03,,-79.05,0.99,-17.18,264.0,442.0
Frog Cellsat,Telecommunications - Equipment,326.0,158.0,20.0,15.0,15.0,12.54,10.0,15.68,25.16,10.0,21.0,29.0,33.0,-81.0,15.0,18.0,10.0,-38.0,5.0,132.0,3.21,42.0,54.0,1.0,156.0,0.31,1.12,8.23,503.0,3.21,73.21,-24.61,1.02,22.32,3.21,25.83,242.0,137.0
Frontier Capital,Finance & Investments,22.0,0.0,0.0,0.0,0.0,35.71,0.0,4.46,19.85,1.0,70.0,29.0,16.0,29.0,15.0,-21.0,-20.0,-47.0,0.0,2.0,0.53,,-0.0,0.0,3.0,0.64,1.23,19.92,36.0,129.93,-113.93,1822.8,20.79,330.91,129.93,330.91,1.0,1.0
Frontier Springs,Auto Ancillaries,1524.0,135.0,21.0,13.0,13.0,15.34,33.0,20.51,16.47,21.0,10.0,19.0,9.0,19.0,9.0,14.0,22.0,22.0,4.0,89.0,1.94,88.35,30.0,2.0,123.0,0.29,1.31,10.85,600.0,4.54,52.58,200.79,5.25,28.81,4.54,34.86,759.0,410.0
Frontline Corp.,Trading,41.0,88.0,0.0,1.0,1.0,0.03,2.0,2.74,3.62,14.0,14.0,3.0,37.0,3.0,37.0,8.0,10.0,10.0,57.0,12.0,0.54,8.09,23.0,1.0,77.0,46.71,5.75,2.22,20.0,0.23,-8.62,-6.61,0.45,22.53,0.23,42.91,37.0,37.0
Fruition Venture,Finance & Investments,62.0,0.0,-0.0,-0.0,-0.0,-218.75,-1.0,-3.88,4.26,-16.0,-49.0,,1.0,,1.0,-39.0,,,2.0,5.0,3.49,,2.0,1.0,7.0,-4.86,1.21,7.02,25.0,154.38,-20.76,-69.91,,-114.86,154.38,-105.29,,
FSN E-Commerce,Trading,177.0,6386.0,346.0,32.0,40.0,5.42,0.0,6.84,6.4,38.0,42.0,-19.0,27.0,-74.0,15.0,,,,969.0,1262.0,1.22,1.83,1224.0,240.0,3401.0,24.39,2.52,26.67,50509.0,7.89,201404.4,-166.58,57.6,135.82,7.89,336.37,5.0,3.0
Fundviser Capit.,Finance & Investments,145.0,1.0,1.0,0.0,0.0,59.79,1.0,5.99,1.47,59.0,31.0,122.0,86.0,107.0,78.0,-11.0,10.0,10.0,0.0,11.0,106.7,,11.0,8.0,13.0,0.0,0.75,10.1,66.0,66.51,-23.38,-145.52,1.71,95.88,66.51,95.88,21.0,23.0
Fusion Microfin.,Finance & Investments,450.0,2317.0,1367.0,505.0,505.0,59.02,50.0,14.14,12.17,39.0,36.0,126.0,58.0,113.0,45.0,,,,8616.0,2848.0,6.56,1.84,1415.0,1553.0,11774.0,17.05,3.71,1.71,4524.0,1.97,-3.37,-2.92,0.15,7.94,1.97,7.99,1020.0,565.0
Future Consumer,Trading,1.0,370.0,-23.0,-78.0,-135.0,-6.28,-1.0,-10.48,-20.07,-32.0,-38.0,22.0,,22.0,,-8.0,,,410.0,-306.0,0.49,-0.3,-3.0,9.0,508.0,-3.04,-1.63,0.37,194.0,0.52,208.29,2.41,,-1485.7,0.52,-32.56,,
Future Ent. DVR,Trading,6.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,
Future Enterp.,Trading,1.0,105.0,-1365.0,-678.0,-678.0,-1305.84,-15.0,,-7.24,-70.0,-52.0,,,,,-34.0,,,5396.0,-428.0,0.02,-42.82,-502.0,8.0,5695.0,-7.96,-15.99,-0.56,60.0,0.59,0.03,0.08,,-17.07,0.59,-8.23,,
Future Lifestyle,Trading,3.0,2313.0,-551.0,-1501.0,-2135.0,-23.82,-106.0,-72.64,-24.93,-19.0,-5.0,,,,,,,,1610.0,-2026.0,0.68,-4.26,-979.0,60.0,3769.0,-0.63,-2.84,-1.41,51.0,0.02,0.08,0.13,,-2.48,0.02,-1.43,,
Future Market,Miscellaneous,7.0,93.0,17.0,-6.0,-8.0,18.59,-1.0,9.03,10.75,10.0,-7.0,20.0,,20.0,,-5.0,7.0,7.0,131.0,22.0,0.35,1.25,-88.0,9.0,329.0,-15.93,19.13,0.44,38.0,0.41,-2.06,22.83,,4.76,0.41,8.07,,
Future Retail,Trading,3.0,8541.0,-1390.0,-4445.0,-4445.0,-16.28,-82.0,-13.74,5.27,-30.0,-2.0,,,,,,,,13811.0,-1118.0,0.7,-2.01,4904.0,95.0,17608.0,-4.34,16.75,0.19,168.0,0.02,-1.08,-0.07,,-10.12,0.02,-4.7,,
Future Supply,Miscellaneous,3.0,547.0,87.0,-13.0,-685.0,15.96,-156.0,5.99,3.25,-18.0,2.0,,,,,,,,543.0,-140.0,0.46,0.81,-78.0,3.0,764.0,-0.78,-9.09,0.62,15.0,0.03,0.1,2.46,,3.33,0.03,9.58,,
Futuristic Sec.,Finance & Investments,22.0,0.0,-0.0,-0.0,-0.0,-233.33,-0.0,-6.38,-3.26,-5.0,-11.0,-37.0,,-37.0,,-3.0,,,0.0,1.0,91.0,,1.0,0.0,1.0,0.0,1.04,6.61,4.0,67.0,-34.32,-47.52,,-44.56,67.0,-44.56,,
Futuristic Solu,Finance & Investments,102.0,4.0,2.0,1.0,1.0,57.1,1.0,13.21,12.34,88.0,-2.0,317.0,19.0,317.0,19.0,19.0,17.0,17.0,0.0,15.0,9.64,66.67,14.0,7.0,17.0,0.0,1.1,12.93,107.0,30.34,194.73,59.06,3.98,49.81,30.34,50.06,13.0,21.0
G D Trad&Agency,Finance & Investments,21.0,0.0,-0.0,-0.0,-0.0,-5.26,,-5.63,-33.25,,80.0,21.0,0.0,,,,,,8.0,-8.0,2.1,,0.0,0.0,0.0,-400.0,-0.03,-23.79,0.0,0.55,,,,-409.0,0.55,-409.0,,
G G Automotive,Engineering,149.0,95.0,12.0,4.0,4.0,12.65,5.0,14.84,9.52,47.0,12.0,56.0,4.0,55.0,3.0,14.0,22.0,21.0,27.0,32.0,1.25,3.86,22.0,2.0,81.0,6.15,2.4,4.87,124.0,1.3,10.35,110.45,6.52,11.91,1.3,17.34,85.0,68.0
G G Dandekar,Miscellaneous,103.0,3.0,1.0,-4.0,-4.0,44.26,-9.0,-0.8,-1.26,-13.0,-9.0,,-0.0,,-0.0,-15.0,,,4.0,47.0,5.02,-1.0,6.0,6.0,55.0,-1.0,1.2,2.79,49.0,16.56,33.86,-5.88,,20.19,16.56,-109.86,,
G G Engineering,Trading,2.0,212.0,8.0,7.0,7.0,3.72,0.0,7.77,5.79,97.0,21.0,247.0,26.0,197.0,15.0,58.0,93.0,72.0,3.0,204.0,7.44,17.37,162.0,1.0,232.0,0.41,0.85,5.14,290.0,1.37,-3.09,-7.25,1.59,26.25,1.37,26.61,3.0,1.0
G K Consultants,Finance & Investments,16.0,1.0,0.0,0.0,0.0,17.27,0.0,2.73,3.02,-31.0,-37.0,31.0,-4.0,31.0,-4.0,-28.0,1.0,1.0,0.0,7.0,173.5,,7.0,1.0,7.0,0.0,1.01,4.82,9.0,7.95,11.47,186.83,-16.38,40.37,7.95,40.37,5.0,9.0
G K P Printing,Trading,10.0,28.0,-1.0,-2.0,-2.0,-2.84,-1.0,-5.5,2.16,-1.0,3.0,,,,,,,,3.0,22.0,2.6,-3.21,17.0,2.0,34.0,-1.86,1.66,3.2,22.0,0.77,16.12,-54.4,,-34.25,0.77,-17.0,,
G M Breweries,Breweries & Distilleries,655.0,615.0,107.0,148.0,152.0,17.46,66.0,23.53,21.2,22.0,6.0,26.0,13.0,26.0,13.0,8.0,21.0,21.0,0.0,822.0,1.3,478.32,28.0,13.0,917.0,0.0,1.03,5.21,1497.0,2.44,25.25,27.18,0.81,8.12,2.44,8.4,716.0,734.0
G M D C,Mining / Minerals / Metals,397.0,2463.0,626.0,617.0,617.0,25.43,19.0,13.78,20.88,23.0,6.0,17.0,13.0,17.0,13.0,7.0,4.0,4.0,3.0,6116.0,4.73,281.14,2056.0,510.0,7367.0,0.0,1.17,4.94,12633.0,5.12,116.12,38.39,1.53,13.45,5.12,14.74,227.0,290.0
G M Polyplast,Plastics Products,192.0,92.0,11.0,7.0,7.0,12.32,5.0,37.46,31.78,21.0,6.0,26.0,40.0,26.0,-47.0,11.0,31.0,-20.0,1.0,32.0,3.99,27.65,26.0,2.0,41.0,0.17,1.46,14.31,258.0,2.66,49.54,249.02,0.86,21.17,2.66,23.84,93.0,53.0
G N F C,Chemicals,723.0,7930.0,503.0,485.0,485.0,6.34,33.0,7.72,21.25,16.0,6.0,-11.0,-8.0,-9.0,-7.0,5.0,5.0,6.0,3.0,8198.0,4.15,51.08,3403.0,1529.0,10561.0,0.01,1.35,4.04,10622.0,1.34,332.04,11.32,-2.71,9.36,1.34,13.71,567.0,644.0
G R Infraproject,Construction,1725.0,8980.0,2122.0,1089.0,1323.0,23.63,137.0,17.0,18.32,5.0,11.0,4.0,9.0,5.0,10.0,26.0,41.0,23.0,3817.0,7592.0,2.97,3.52,4356.0,740.0,12942.0,2.88,1.76,4.49,16683.0,1.86,-10.49,-24.71,1.72,8.87,1.86,9.95,2266.0,1555.0
G S Auto Intl.,Auto Ancillaries,37.0,151.0,9.0,1.0,1.0,6.15,0.0,10.13,5.45,26.0,-0.0,30.0,64.0,30.0,64.0,2.0,19.0,18.0,34.0,22.0,0.92,1.21,17.0,1.0,98.0,49.3,4.54,3.11,53.0,0.35,5.95,12.43,1.2,8.94,0.35,14.91,14.0,13.0
G S F C,Fertilizers,248.0,9155.0,513.0,564.0,564.0,5.61,14.0,5.77,10.46,6.0,2.0,10.0,3.0,10.0,3.0,5.0,5.0,5.0,5.0,12727.0,4.37,63.84,4401.0,2303.0,15051.0,0.01,1.14,3.35,9866.0,1.08,-36.72,71.1,6.44,8.4,1.08,10.55,191.0,319.0
G V Films,Entertainment / Electronic Media Software,1.0,1.0,-1.0,-0.0,-0.0,-134.48,0.0,-2.27,-1.44,34.0,-25.0,22.0,12.0,22.0,12.0,-20.0,7.0,7.0,20.0,20.0,0.85,-1.55,9.0,0.0,71.0,-45.7,3.41,2.23,77.0,130.93,-20.74,-76.42,,-173.58,130.93,-109.74,,
G-Tec Janix,Miscellaneous,67.0,8.0,0.0,-0.0,-0.0,4.45,-0.0,2.59,-10.37,91.0,7.0,25.0,,25.0,,,,,1.0,5.0,3.05,14.0,4.0,0.0,7.0,-7.92,1.4,19.15,68.0,8.57,-476.0,-1127.37,,149.79,8.57,513.57,,
G-Tech Info.,Computers - Software - Medium / Small,2.0,0.0,-0.0,0.0,0.0,,0.0,18.18,-2.2,,,28.0,20.0,28.0,20.0,,,,0.0,0.0,0.45,,-0.0,0.0,0.0,0.0,3.5,2.12,1.0,,28.0,56.0,2.78,21.5,,21.5,0.0,0.0
Gabriel India,Auto Ancillaries,488.0,3343.0,299.0,185.0,185.0,8.94,13.0,26.89,22.13,25.0,10.0,46.0,14.0,46.0,14.0,10.0,15.0,15.0,10.0,1009.0,1.86,47.13,488.0,73.0,1612.0,0.06,1.51,10.75,7011.0,2.08,36.86,126.44,2.64,21.49,2.08,27.02,201.0,143.0
Gabriel Pet,Textiles - Manmade,150.0,11.0,1.0,1.0,1.0,8.4,2.0,,0.0,,,,,,,,,,,,,45.0,,,,,,,40.0,3.7,,,,,3.7,,,
GACM Tech,Finance & Investments,1.0,7.0,2.0,1.0,1.0,33.56,0.0,13.71,-25.85,15.0,-38.0,38.0,15.0,36.0,15.0,1.0,-9.0,-12.0,8.0,7.0,4.04,2.76,7.0,7.0,17.0,7.14,2.11,7.37,61.0,8.3,-16.74,-8.24,3.58,24.87,8.3,35.02,0.0,0.0
GACM Tech-DVR,Finance & Investments,3.0,10.0,1.0,-1.0,-1.0,5.41,-0.0,-1.41,-1.41,,,,,,,,,,17.0,-7.0,2.61,-0.14,3.0,1.0,12.0,-14.1,-1.83,2.5,18.0,1.79,95.55,,,62.17,1.79,-223.8,,
Gagan Gases,Chemicals,22.0,2.0,0.0,0.0,0.0,7.98,0.0,3.82,10.41,-1.0,30.0,26.0,-16.0,26.0,-16.0,2.0,8.0,8.0,0.0,3.0,25.08,3.25,3.0,0.0,4.0,6.5,1.28,7.22,10.0,4.69,110.45,78.48,-10.67,50.25,4.69,77.31,7.0,4.0
GAIL (India),Miscellaneous,220.0,133228.0,14296.0,9899.0,9903.0,10.73,15.0,14.64,15.89,32.0,12.0,17.0,8.0,18.0,9.0,8.0,8.0,8.0,21794.0,76997.0,0.94,18.51,5288.0,1712.0,124717.0,2.2,1.51,4.19,144718.0,1.09,11.49,-146.14,1.8,9.7,1.09,12.37,170.0,199.0
Gajanan Sec.Serv,Finance & Investments,89.0,0.0,0.0,1.0,1.0,66.67,3.0,0.21,0.22,-30.0,-13.0,-10.0,0.0,-10.0,0.0,,,,0.0,115.0,8.4,,5.0,6.0,116.0,0.0,1.0,1.84,28.0,76.67,34.49,1182.43,134.1,89.88,76.67,89.88,97.0,162.0
Gala Global,Printing & Stationery,4.0,75.0,-0.0,-0.0,0.0,-0.08,0.0,1.23,3.17,-10.0,-5.0,,,,,32.0,,,26.0,43.0,1.92,0.86,54.0,0.0,109.0,122.43,2.64,2.15,20.0,0.26,-14.04,-2.34,,44.92,0.26,54.66,2.0,3.0
Galactico Corpo.,Finance & Investments,4.0,23.0,3.0,2.0,2.0,11.36,0.0,7.27,19.78,13.0,4.0,-1.0,12.0,-0.0,11.0,,,,24.0,33.0,2.01,4.91,31.0,1.0,73.0,11.87,1.96,2.89,59.0,2.61,-8.02,-18.95,2.35,17.8,2.61,22.4,2.0,3.0
Galada Finance,Finance & Investments,16.0,1.0,1.0,0.0,0.0,66.42,1.0,9.72,5.73,14.0,1.0,90.0,30.0,90.0,30.0,1.0,16.0,16.0,4.0,6.0,12.57,1.98,1.0,0.0,10.0,12.79,1.52,2.07,5.0,3.69,-2.27,-10.44,0.49,9.02,3.69,11.14,13.0,22.0
Galaxy Agrico,Castings & Forgings,42.0,7.0,-0.0,-1.0,-1.0,-3.55,-2.0,-11.0,-5.22,15.0,7.0,,,,,2.0,,,2.0,4.0,1.95,-7.88,2.0,0.0,6.0,-2.91,1.54,4.95,11.0,1.55,-17.53,-18.7,,-115.73,1.55,-20.21,,
Galaxy Bearings,Bearings,1415.0,127.0,21.0,19.0,19.0,16.44,59.0,27.63,30.62,27.0,11.0,35.0,23.0,35.0,23.0,11.0,21.0,21.0,16.0,93.0,2.79,51.86,71.0,0.0,126.0,0.85,1.2,9.08,450.0,3.53,94.93,-2118.15,1.02,16.76,3.53,17.92,1104.0,625.0
Galaxy Cloud,Food - Processing - Indian,43.0,2.0,-6.0,-5.0,-14.0,-291.98,-3.0,,-34.9,-59.0,-51.0,-2.0,11.0,-2.0,12.0,-25.0,,,17.0,-21.0,0.11,-3.61,-6.0,0.0,5.0,-1.22,-0.55,54.8,193.0,89.17,-17.79,-29.5,,-53.27,89.17,-49.2,,
Galaxy Surfact.,Chemicals,2759.0,3794.0,462.0,301.0,301.0,12.18,85.0,17.39,20.03,11.0,7.0,-0.0,9.0,-0.0,9.0,,,,187.0,2179.0,2.82,17.76,1193.0,239.0,2915.0,0.62,1.29,8.65,9782.0,2.57,18.86,45.73,3.43,19.52,2.57,24.41,1242.0,1084.0
Gallantt Ispat L,Steel - Medium / Small,362.0,4227.0,448.0,225.0,225.0,10.6,9.0,11.96,10.87,26.0,32.0,15.0,26.0,-20.0,1.0,20.0,31.0,17.0,462.0,2451.0,2.33,12.04,983.0,12.0,3136.0,2.05,1.24,7.62,8734.0,2.06,25.3,-1327.89,1.51,20.13,2.06,26.98,246.0,146.0
Gallops Enterp.,Construction,22.0,0.0,0.0,0.0,0.0,12.5,0.0,0.67,1.36,-10.0,22.0,-37.0,-59.0,-37.0,-59.0,,,,0.0,1.0,26.8,,1.0,1.0,2.0,0.0,1.02,13.87,11.0,138.63,-92.08,-78.93,-18.82,1039.0,138.63,1039.0,1.0,1.0
Gandhar Oil Ref.,Refineries,209.0,4113.0,279.0,141.0,165.0,6.78,14.0,21.7,32.74,23.0,3.0,12.0,51.0,-39.0,5.0,,,,271.0,1172.0,2.52,4.61,1113.0,277.0,1940.0,1.64,1.52,5.79,2047.0,0.5,-29.41,-245.59,0.28,7.04,0.5,7.57,220.0,197.0
Gandhi Spl. Tube,Steel - Medium / Small,804.0,171.0,64.0,56.0,56.0,37.52,46.0,36.25,33.95,15.0,7.0,16.0,8.0,18.0,11.0,7.0,16.0,18.0,0.0,223.0,6.79,815.89,60.0,3.0,243.0,0.01,1.0,9.71,977.0,5.7,37.1,27.32,2.26,12.7,5.7,13.23,976.0,434.0
Ganesh Benzopl.,Miscellaneous,150.0,227.0,89.0,61.0,61.0,39.44,8.0,18.22,18.67,-4.0,1.0,32.0,12.0,26.0,5.0,7.0,24.0,20.0,55.0,499.0,2.08,14.14,86.0,83.0,630.0,0.91,1.12,4.87,1082.0,4.81,21.26,51.11,1.51,10.1,4.81,12.11,169.0,115.0
Ganesh Holdings,Finance & Investments,170.0,0.0,-0.0,-0.0,-0.0,-35.71,-1.0,-2.48,-2.19,-8.0,-3.0,,7.0,,7.0,-29.0,,,0.0,2.0,1.0,,0.0,0.0,2.0,0.0,1.01,6.74,7.0,49.14,-113.33,-24.58,,-137.4,49.14,-137.4,,
Ganesh Housing,Construction,953.0,892.0,623.0,461.0,461.0,69.86,55.0,45.22,27.17,74.0,28.0,85.0,77.0,66.0,59.0,12.0,25.0,19.0,26.0,1550.0,6.08,167.15,984.0,231.0,1769.0,0.06,1.03,10.78,7944.0,8.95,12.52,45.5,0.23,12.34,8.95,12.47,1133.0,481.0
Ganesha Ecosphe.,Textiles - Processing,1418.0,1123.0,138.0,41.0,41.0,12.28,16.0,8.0,10.06,14.0,,-1.0,,-6.0,,,,,399.0,1052.0,4.64,2.31,597.0,153.0,1625.0,9.83,1.4,5.78,3593.0,3.19,82.21,-22.03,,25.1,3.19,36.86,261.0,387.0
Ganesha Ecoverse,Textiles - Products,72.0,6.0,-0.0,4.0,4.0,-1.52,4.0,28.2,5.5,,,266.0,,266.0,,,83.0,71.0,19.0,9.0,10.38,6.01,28.0,1.0,29.0,4.46,2.1,6.74,80.0,13.2,-373.39,104.09,,15.12,13.2,15.12,16.0,26.0
Ganga Forging,Castings & Forgings,8.0,37.0,2.0,0.0,0.0,6.72,0.0,4.61,6.35,17.0,6.0,14.0,0.0,5.0,-4.0,,,,10.0,31.0,2.41,1.87,27.0,1.0,46.0,22.68,1.29,6.17,103.0,2.81,-9.84,-22.71,517.83,43.93,2.81,71.55,1.0,1.0
Ganga Papers,Paper,102.0,246.0,7.0,1.0,1.0,2.73,1.0,6.93,11.11,12.0,13.0,-29.0,-2.0,-29.0,-2.0,14.0,1.0,1.0,37.0,29.0,1.21,1.72,47.0,2.0,84.0,25.06,3.05,6.4,110.0,0.45,12.43,119.15,-36.71,20.75,0.45,30.45,21.0,29.0
Ganga Pharma.,Pharmaceuticals - Indian - Formulations,25.0,3.0,0.0,0.0,0.0,1.82,0.0,3.3,3.35,6.0,-3.0,36.0,-23.0,28.0,-26.0,0.0,5.0,-2.0,1.0,6.0,4.79,1.33,6.0,0.0,9.0,27.0,1.47,4.4,12.0,4.35,-9.4,-22.92,-10.18,45.69,4.35,55.21,3.0,6.0
Ganges Securitie,Finance & Investments,182.0,35.0,5.0,3.0,3.0,15.57,3.0,1.19,1.82,0.0,2.0,-29.0,-14.0,-29.0,-14.0,,,,0.0,545.0,7.27,592.0,40.0,38.0,570.0,0.0,0.94,2.03,182.0,5.25,-35.0,52.3,-3.68,21.54,5.25,24.38,123.0,207.0
Gangotri Textile,Textiles - Cotton/Blended,1.0,0.0,-0.0,-0.0,-0.0,,-0.0,-0.14,-0.8,,,,10.0,,10.0,,7.0,7.0,246.0,-237.0,0.06,,9.0,0.0,15.0,-3514.71,-0.06,-20.61,5.0,,-67.06,-78.24,,-3581.71,,-3581.71,,
Ganon Products,Trading,7.0,28.0,-1.0,0.0,0.0,-2.54,0.0,6.42,5.04,,157.0,29.0,-45.0,29.0,-45.0,-5.0,10.0,10.0,0.0,11.0,0.09,1.32,-13.0,0.0,33.0,0.0,2.45,1.21,6.0,0.23,1.13,1.69,-1.09,8.77,0.23,8.77,4.0,6.0
Garbi Finvest,Finance & Investments,19.0,4.0,0.0,-1.0,-1.0,0.93,-1.0,0.06,22.27,22.0,7.0,,,,,43.0,,,0.0,72.0,0.02,,-1.0,0.0,76.0,0.0,1.04,1.85,22.0,5.07,-7.06,1.73,,545.0,5.07,545.0,,
Garden Reach Sh.,Miscellaneous,2297.0,3593.0,234.0,357.0,357.0,6.52,31.0,28.42,23.07,47.0,21.0,31.0,26.0,31.0,26.0,8.0,12.0,-10.0,66.0,1673.0,1.12,42.86,1047.0,3720.0,10252.0,0.18,6.28,4.95,26313.0,7.3,-37.09,324.4,2.77,42.26,7.3,45.81,878.0,320.0
Garg Furnace,Steel - Medium / Small,282.0,258.0,6.0,6.0,6.0,2.32,12.0,15.17,23.7,29.0,18.0,76.0,24.0,71.0,23.0,6.0,20.0,19.0,1.0,49.0,3.98,31.89,32.0,9.0,61.0,0.27,1.23,9.64,130.0,0.49,-9.5,-41.41,0.97,16.49,0.49,21.0,221.0,169.0
Garment Mantra,Textiles - Products,6.0,164.0,8.0,2.0,2.0,4.96,0.0,7.86,8.55,-1.0,,-32.0,,-32.0,,,,,78.0,37.0,1.35,1.81,107.0,36.0,149.0,31.58,3.34,3.15,62.0,0.38,18.78,13.49,,12.59,0.38,13.89,3.0,5.0
Garnet Construct,Construction,26.0,11.0,-2.0,3.0,3.0,-17.61,2.0,4.52,2.0,-45.0,9.0,-39.0,29.0,-39.0,29.0,6.0,18.0,18.0,10.0,96.0,2.78,6.68,101.0,0.0,163.0,3.36,1.7,2.08,36.0,3.22,-15.36,-21.82,0.42,8.94,3.22,9.48,34.0,57.0
Garnet Intl.,Finance & Investments,68.0,20.0,-1.0,-1.0,-6.0,-6.54,-3.0,-1.13,2.48,5.0,-25.0,23.0,15.0,23.0,15.0,7.0,,,5.0,27.0,3.44,-51.0,4.0,0.0,34.0,-0.82,1.8,7.9,133.0,6.35,19.27,160.47,,-262.2,6.35,-262.2,,
Garodia Chemical,Trading,8.0,0.0,-0.0,-0.0,-0.0,,-0.0,,0.0,,,9.0,6.0,9.0,6.0,,2.0,2.0,4.0,-4.0,0.56,,-0.0,0.0,0.0,-34.62,-0.02,20.85,6.0,,-35.42,-53.12,,-78.15,,-78.15,,
Garware Hi Tech,Packaging,2434.0,1677.0,282.0,203.0,203.0,16.81,88.0,13.89,12.87,19.0,12.0,18.0,20.0,18.0,20.0,7.0,40.0,40.0,20.0,2045.0,3.49,23.94,558.0,113.0,2324.0,0.1,1.11,6.58,5655.0,3.41,33.2,46.17,1.37,17.54,3.41,19.96,1356.0,1316.0
Garware Marine,Miscellaneous,12.0,1.0,-0.0,-0.0,-0.0,-18.18,-0.0,-0.74,0.25,-20.0,-12.0,,,,,-23.0,4.0,4.0,0.0,11.0,12.6,,5.0,0.0,11.0,0.0,0.89,2.86,7.0,10.74,-356.7,-2140.2,,-100.71,10.74,-100.71,,
Garware Synth,Textiles - Products,19.0,11.0,0.0,-0.0,-0.0,3.55,-0.0,-0.62,4.92,9.0,0.0,,,,,4.0,1.0,,5.0,-2.0,0.27,-0.11,-1.0,0.0,15.0,-106.2,-7.17,1.59,11.0,0.99,27.22,19.3,,39.3,0.99,-393.0,,
Garware Tech.,Textiles - Products,4045.0,1326.0,272.0,208.0,208.0,20.49,102.0,23.05,22.4,9.0,5.0,10.0,12.0,11.0,13.0,7.0,23.0,24.0,123.0,1234.0,1.92,16.79,563.0,174.0,1771.0,0.59,1.32,10.11,8243.0,6.23,37.79,64.04,3.36,26.08,6.23,28.41,1506.0,1180.0
Gateway Distri,Miscellaneous,104.0,1497.0,353.0,245.0,245.0,23.61,5.0,12.53,12.47,9.0,12.0,38.0,18.0,2.0,-1.0,10.0,17.0,7.0,486.0,1888.0,0.68,6.71,31.0,8.0,2555.0,1.98,1.31,5.28,5206.0,3.49,16.99,19.44,1.16,15.15,3.49,19.78,55.0,65.0
